                  mocknum                 nthreads       getmock_calcwtheta                 numtbins              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               40819.1752                       32       1554760343.1704023                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3805120                      0.0                     0.03                     0.11                     0.67                  1500557                     3.07                      0.8                     0.81                     1.46                      0.0
          40819.1752                  32  1554760343.1704023                  74                 0.0                 0.0                0.01                0.11                0.14             3805120                 0.0                0.03                0.11                 1.2             1636070                7.57                2.09                2.14                3.33                 0.0
          40819.1752                  32  1554760343.1704023                  74                 0.0                 0.0                0.01                0.11                0.14             3805120                 0.0                0.03                0.11                1.73              668493                2.07                0.64                0.61                0.82                 0.0
               40819.1805                       32       1554761122.6015134                       74                      0.0                      0.0                     0.01                     0.12                     0.14                  3802240                      0.0                     0.03                     0.11                     0.67                  1500380                     3.07                      0.8                     0.81                     1.46                      0.0
          40819.1805                  32  1554761122.6015134                  74                 0.0                 0.0                0.01                0.12                0.14             3802240                 0.0                0.03                0.11                 1.2             1635046                7.57                2.15                2.14                3.28                 0.0
          40819.1805                  32  1554761122.6015134                  74                 0.0                 0.0                0.01                0.12                0.14             3802240                 0.0                0.03                0.11                1.73              666814                2.13                0.66                0.64                0.83                 0.0
               40819.1818                       32       1554761906.2119853                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3802008                      0.0                     0.03                     0.11                     0.67                  1501338                     3.07                     0.82                     0.81                     1.44                      0.0
          40819.1818                  32  1554761906.2119853                  74                 0.0                 0.0                0.01                0.11                0.14             3802008                 0.0                0.03                0.11                 1.2             1635325                7.49                2.11                2.09                3.29                 0.0
          40819.1818                  32  1554761906.2119853                  74                 0.0                 0.0                0.01                0.11                0.14             3802008                 0.0                0.03                0.11                1.73              665345                 2.1                0.64                0.63                0.83                 0.0
               40819.1831                       32        1554762682.642967                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3805888                      0.0                     0.03                     0.11                     0.67                  1502023                     3.02                     0.78                      0.8                     1.44                      0.0
          40819.1831                  32   1554762682.642967                  74                 0.0                 0.0                0.01                0.11                0.14             3805888                 0.0                0.03                0.11                 1.2             1636108                7.58                2.16                2.15                3.26                 0.0
          40819.1831                  32   1554762682.642967                  74                 0.0                 0.0                0.01                0.11                0.14             3805888                 0.0                0.03                0.11                1.73              667757                2.13                0.68                0.63                0.81                 0.0
               40819.1844                       32       1554763463.2750227                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808168                      0.0                     0.03                     0.11                     0.67                  1501625                     3.02                      0.8                     0.79                     1.44                      0.0
          40819.1844                  32  1554763463.2750227                  74                 0.0                 0.0                0.01                0.11                0.14             3808168                 0.0                0.03                0.11                 1.2             1637175                7.63                2.15                2.13                3.35                 0.0
          40819.1844                  32  1554763463.2750227                  74                 0.0                 0.0                0.01                0.11                0.14             3808168                 0.0                0.03                0.11                1.73              669368                2.07                0.64                0.61                0.82                 0.0
               40819.1857                       32        1554764243.981547                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3803456                      0.0                     0.03                     0.11                     0.67                  1501366                     3.06                     0.81                      0.8                     1.44                      0.0
          40819.1857                  32   1554764243.981547                  74                 0.0                 0.0                0.01                0.11                0.14             3803456                 0.0                0.03                0.11                 1.2             1634852                 7.5                2.13                2.13                3.25                 0.0
          40819.1857                  32   1554764243.981547                  74                 0.0                 0.0                0.01                0.11                0.14             3803456                 0.0                0.03                0.11                1.73              667238                2.11                0.65                0.66                 0.8                 0.0
                40819.191                       32       1554765020.7781994                       74                      0.0                      0.0                     0.01                     0.12                     0.14                  3805280                      0.0                     0.03                     0.11                     0.67                  1501811                     3.08                      0.8                     0.82                     1.46                      0.0
           40819.191                  32  1554765020.7781994                  74                 0.0                 0.0                0.01                0.12                0.14             3805280                 0.0                0.03                0.11                 1.2             1636304                7.63                2.17                2.16                3.31                 0.0
           40819.191                  32  1554765020.7781994                  74                 0.0                 0.0                0.01                0.12                0.14             3805280                 0.0                0.03                0.11                1.73              667165                2.08                0.63                0.64                0.81                 0.0
               40819.1923                       32       1554765805.7527041                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3811384                      0.0                     0.03                     0.11                     0.67                  1504215                     3.08                     0.81                     0.81                     1.47                      0.0
          40819.1923                  32  1554765805.7527041                  74                 0.0                 0.0                0.01                0.11                0.15             3811384                 0.0                0.03                0.11                 1.2             1639061                7.54                 2.1                2.11                3.33                 0.0
          40819.1923                  32  1554765805.7527041                  74                 0.0                 0.0                0.01                0.11                0.15             3811384                 0.0                0.03                0.11                1.73              668108                 2.1                0.64                0.62                0.84                 0.0
               40819.1936                       32       1554766586.1617887                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3803336                      0.0                     0.03                     0.11                     0.67                  1500387                     3.04                      0.8                      0.8                     1.44                      0.0
          40819.1936                  32  1554766586.1617887                  74                 0.0                 0.0                0.01                0.11                0.14             3803336                 0.0                0.03                0.11                 1.2             1635567                 7.5                2.12                2.13                3.24                 0.0
          40819.1936                  32  1554766586.1617887                  74                 0.0                 0.0                0.01                0.11                0.14             3803336                 0.0                0.03                0.11                1.73              667382                 2.1                0.65                0.64                0.81                 0.0
               40819.1949                       32        1554767361.115081                       74                      0.0                      0.0                     0.01                     0.13                     0.15                  3807320                      0.0                     0.03                     0.11                     0.67                  1501849                     3.09                     0.82                     0.81                     1.47                      0.0
          40819.1949                  32   1554767361.115081                  74                 0.0                 0.0                0.01                0.13                0.15             3807320                 0.0                0.03                0.11                 1.2             1636815                7.54                2.12                2.13                3.28                 0.0
          40819.1949                  32   1554767361.115081                  74                 0.0                 0.0                0.01                0.13                0.15             3807320                 0.0                0.03                0.11                1.73              668656                 2.1                0.66                0.62                0.83                 0.0
               40819.2002                       32       1554768144.1084526                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3805696                      0.0                     0.03                     0.11                     0.67                  1502324                     3.04                     0.79                     0.81                     1.44                      0.0
          40819.2002                  32  1554768144.1084526                  74                 0.0                 0.0                0.01                0.11                0.14             3805696                 0.0                0.03                0.11                 1.2             1636286                7.54                2.08                2.17                3.29                 0.0
          40819.2002                  32  1554768144.1084526                  74                 0.0                 0.0                0.01                0.11                0.14             3805696                 0.0                0.03                0.11                1.73              667086                2.08                0.64                0.64                 0.8                 0.0
               40819.2015                       32        1554768920.990444                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3802728                      0.0                     0.03                     0.12                     0.67                  1501183                     3.03                      0.8                      0.8                     1.43                      0.0
          40819.2015                  32   1554768920.990444                  74                 0.0                 0.0                0.01                0.11                0.15             3802728                 0.0                0.03                0.12                 1.2             1635384                7.55                2.12                2.14                3.29                 0.0
          40819.2015                  32   1554768920.990444                  74                 0.0                 0.0                0.01                0.11                0.15             3802728                 0.0                0.03                0.12                1.73              666161                2.07                0.64                0.62                 0.8                 0.0
               40819.2028                       32        1554769697.868725                       74                      0.0                      0.0                     0.01                     0.11                     0.16                  3813352                      0.0                     0.03                     0.12                     0.67                  1505195                     3.08                     0.81                      0.8                     1.47                      0.0
          40819.2028                  32   1554769697.868725                  74                 0.0                 0.0                0.01                0.11                0.16             3813352                 0.0                0.03                0.12                 1.2             1639739                7.54                 2.1                2.16                3.27                 0.0
          40819.2028                  32   1554769697.868725                  74                 0.0                 0.0                0.01                0.11                0.16             3813352                 0.0                0.03                0.12                1.73              668418                2.11                0.66                0.62                0.83                 0.0
               40819.2041                       32       1554770480.2795544                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3809912                      0.0                     0.03                     0.11                     0.67                  1504114                     3.09                     0.82                      0.8                     1.48                      0.0
          40819.2041                  32  1554770480.2795544                  74                 0.0                 0.0                0.01                0.11                0.14             3809912                 0.0                0.03                0.11                 1.2             1638065                7.54                2.14                2.11                3.28                 0.0
          40819.2041                  32  1554770480.2795544                  74                 0.0                 0.0                0.01                0.11                0.14             3809912                 0.0                0.03                0.11                1.73              667733                2.09                0.64                0.62                0.83                 0.0
               40819.2054                       32        1554771259.587077                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808744                      0.0                     0.03                      0.1                     0.67                  1503269                     3.11                     0.83                     0.81                     1.47                      0.0
          40819.2054                  32   1554771259.587077                  74                 0.0                 0.0                0.01                0.11                0.14             3808744                 0.0                0.03                 0.1                 1.2             1638183                7.62                2.18                2.12                3.32                 0.0
          40819.2054                  32   1554771259.587077                  74                 0.0                 0.0                0.01                0.11                0.14             3808744                 0.0                0.03                 0.1                1.73              667292                2.09                0.65                0.62                0.82                 0.0
               40819.2107                       32        1554772045.272114                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3804072                      0.0                     0.03                     0.11                     0.67                  1501386                     3.04                      0.8                     0.82                     1.43                      0.0
          40819.2107                  32   1554772045.272114                  74                 0.0                 0.0                0.01                0.11                0.14             3804072                 0.0                0.03                0.11                 1.2             1635998                7.57                2.12                2.17                3.27                 0.0
          40819.2107                  32   1554772045.272114                  74                 0.0                 0.0                0.01                0.11                0.14             3804072                 0.0                0.03                0.11                1.73              666688                2.12                0.65                0.64                0.82                 0.0
               40919.1021                       32       1554819695.9162676                       74                      0.0                      0.0                     0.01                     0.11                     0.16                  3805344                      0.0                     0.04                     0.11                     0.67                  1502765                      3.0                     0.78                     0.79                     1.43                      0.0
          40919.1021                  32  1554819695.9162676                  74                 0.0                 0.0                0.01                0.11                0.16             3805344                 0.0                0.04                0.11                 1.2             1636634                 7.4                 2.1                2.11                3.19                 0.0
          40919.1021                  32  1554819695.9162676                  74                 0.0                 0.0                0.01                0.11                0.16             3805344                 0.0                0.04                0.11                1.73              665945                2.07                0.64                0.63                0.79                 0.0
               40919.1034                       32       1554820467.4550338                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3804896                      0.0                     0.03                     0.11                     0.67                  1501703                     3.02                     0.78                     0.82                     1.41                      0.0
          40919.1034                  32  1554820467.4550338                  74                 0.0                 0.0                0.01                0.11                0.14             3804896                 0.0                0.03                0.11                 1.2             1636369                7.42                 2.1                2.14                3.18                 0.0
          40919.1034                  32  1554820467.4550338                  74                 0.0                 0.0                0.01                0.11                0.14             3804896                 0.0                0.03                0.11                1.73              666824                2.08                0.65                0.62                 0.8                 0.0
               40919.1047                       32       1554821235.1681123                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3807400                      0.0                     0.03                     0.11                     0.67                  1502180                     3.01                     0.78                     0.79                     1.44                      0.0
          40919.1047                  32  1554821235.1681123                  74                 0.0                 0.0                0.01                0.11                0.14             3807400                 0.0                0.03                0.11                 1.2             1637557                 7.5                2.13                2.08                3.28                 0.0
          40919.1047                  32  1554821235.1681123                  74                 0.0                 0.0                0.01                0.11                0.14             3807400                 0.0                0.03                0.11                1.73              667663                2.06                0.65                0.62                 0.8                 0.0
                 40919.11                       32       1554822006.0112967                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3804664                      0.0                     0.03                     0.12                     0.67                  1500894                     3.01                     0.78                      0.8                     1.43                      0.0
            40919.11                  32  1554822006.0112967                  74                 0.0                 0.0                0.01                0.11                0.15             3804664                 0.0                0.03                0.12                 1.2             1635612                7.44                2.05                2.16                3.23                 0.0
            40919.11                  32  1554822006.0112967                  74                 0.0                 0.0                0.01                0.11                0.15             3804664                 0.0                0.03                0.12                1.73              668158                2.09                0.66                0.62                 0.8                 0.0
               40919.1112                       32       1554822776.2850058                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3804376                      0.0                     0.03                     0.11                     0.67                  1501663                     2.97                     0.77                     0.78                     1.42                      0.0
          40919.1112                  32  1554822776.2850058                  74                 0.0                 0.0                0.01                0.11                0.15             3804376                 0.0                0.03                0.11                 1.2             1635657                7.41                2.14                2.06                3.21                 0.0
          40919.1112                  32  1554822776.2850058                  74                 0.0                 0.0                0.01                0.11                0.15             3804376                 0.0                0.03                0.11                1.73              667056                2.06                0.64                0.61                0.81                 0.0
               40919.1125                       32       1554823540.1647897                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808560                      0.0                     0.03                      0.1                     0.67                  1503396                     3.03                     0.79                     0.81                     1.42                      0.0
          40919.1125                  32  1554823540.1647897                  74                 0.0                 0.0                0.01                0.11                0.14             3808560                 0.0                0.03                 0.1                 1.2             1637521                7.45                2.15                2.07                3.23                 0.0
