                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf                  calc_xi                  calc_wp
               50219.2104                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556845503.7181957                       75                       75                      300                     0.75                   475915                    18.74                     0.24                    15.63                     2.87                      0.0                     0.02                     0.04
               50219.2123                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556846640.555776                       75                       75                      300                     0.75                   475893                    18.93                     0.24                    15.83                     2.85                      0.0                     0.01                     0.04
               50219.2143                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556847788.6827617                       75                       75                      300                     0.75                   475608                     19.0                     0.23                    15.92                     2.85                      0.0                     0.01                     0.04
               50219.2202                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556848940.622648                       75                       75                      300                     0.75                   475811                    18.85                     0.24                    15.76                     2.85                      0.0                     0.01                     0.04
               50219.2226                     0.27                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24        1556850398.416395                       75                       75                      300                     0.25                   475665                     2.14                     0.03                     1.71                      0.4                      0.0                     0.02                     0.05
               50219.2228                     0.17                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24        1556850541.718697                       75                       75                      300                     0.25                   475840                     2.04                     0.03                     1.62                      0.4                      0.0                     0.02                     0.05
               50219.2231                     0.17                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24        1556850679.582294                       75                       75                      300                     0.25                   475799                     1.96                     0.03                     1.55                     0.38                      0.0                     0.02                     0.05
               50219.2233                     0.17                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24        1556850812.317934                       75                       75                      300                     0.25                   475752                     1.76                     0.02                     1.41                     0.33                      0.0                     0.01                     0.04
               50219.2235                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                      0.1                       24       1556850931.1606386                       75                       75                      300                     0.25                   475497                     1.64                     0.02                     1.29                     0.33                      0.0                     0.01                     0.04
               50219.2237                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                      0.1                       24        1556851042.503228                       75                       75                      300                     0.25                   475631                     1.61                     0.02                     1.27                     0.32                      0.0                     0.01                     0.04
               50219.2239                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556851152.9238703                       75                       75                      300                     0.25                   474917                     1.73                     0.02                     1.23                     0.47                      0.0                     0.02                     0.06
               50219.2241                     0.18                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24       1556851273.2203252                       75                       75                      300                     0.25                   475532                      2.3                     0.03                     1.84                     0.42                      0.0                     0.02                     0.06
               50219.2221                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556850083.6790664                       75                       75                      300                     0.75                   475748                    23.29                     0.23                    18.86                     4.19                      0.0                     0.02                     0.06
               50219.2243                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24        1556851426.014571                       75                       75                      300                     0.25                   475731                     1.96                     0.03                     1.46                     0.47                      0.0                     0.02                     0.06
               50219.2245                     0.18                      0.0                      0.0                      0.0                     0.01                     0.15                  4000000                      0.0                     0.03                     0.11                       24        1556851560.185181                       75                       75                      300                     0.25                   475735                     2.47                     0.03                     1.96                     0.48                      0.0                     0.02                     0.06
               50219.2248                     0.19                      0.0                      0.0                      0.0                     0.01                     0.15                  4000000                      0.0                     0.03                     0.12                       24       1556851725.1561623                       75                       75                      300                     0.25                   474987                     2.54                     0.03                     2.01                      0.5                      0.0                     0.02                     0.06
               50219.2251                     0.18                      0.0                      0.0                      0.0                     0.02                     0.14                  4000000                      0.0                     0.02                     0.11                       24       1556851894.2903442                       75                       75                      300                     0.25                   476070                     2.32                     0.03                     1.85                     0.43                      0.0                     0.02                     0.06
               50219.2253                     0.17                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24       1556852048.6102467                       75                       75                      300                     0.25                   475994                     2.06                     0.03                     1.63                      0.4                      0.0                     0.02                     0.05
               50219.2256                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                     0.11                       24       1556852186.8447056                       75                       75                      300                     0.25                   476315                      2.0                     0.03                     1.57                      0.4                      0.0                     0.02                     0.05
               50219.2258                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24         1556852321.33713                       75                       75                      300                     0.25                   475844                     1.93                     0.03                     1.54                     0.36                      0.0                     0.02                     0.05
                 50219.23                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556852451.0859041                       75                       75                      300                     0.25                   476406                     1.71                     0.02                     1.36                     0.33                      0.0                     0.01                     0.04
               50219.2302                     0.17                      0.0                      0.0                      0.0                     0.02                     0.13                  4000000                      0.0                     0.02                     0.11                       24       1556852567.8946915                       75                       75                      300                     0.25                   475886                     1.63                     0.02                     1.29                     0.32                      0.0                     0.01                     0.04
               50219.2304                     0.15                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556852679.0794542                       75                       75                      300                     0.25                   475657                     1.63                     0.02                     1.29                     0.31                      0.0                     0.01                     0.04
               50219.2306                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556852789.4115732                       75                       75                      300                     0.25                   476198                     2.03                     0.02                     1.53                     0.48                      0.0                     0.02                     0.06
               50219.2308                     0.18                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.02                     0.11                       24       1556852927.5707088                       75                       75                      300                     0.25                   476301                     2.12                     0.03                      1.7                     0.39                      0.0                     0.02                     0.05
               50219.2244                     0.18                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.03                     0.11                       24       1556851497.4226186                       75                       75                      300                     0.75                   475587                    26.44                     0.33                    21.92                     4.19                      0.0                     0.02                     0.06
